uid,query_id,predicted_answer,concept,common_sense,caption,model,model_full_response,error
0534,B,negative,bride holding colored flowers,1,A bride holding colored flowers.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a person standing alone in a bright, open outdoor space (park, field) with a clear blue sky. The negative examples either have a person with a group of people, or a darker, less open setting, or are blurry/low quality. The query image shows a blurred, low-quality image of a person, which aligns with the negative examples.",
0023,A,negative,radio towers,0,Radio towers.,gemma3:latest,"Category: negative
Common concept: The common concept is a decorative, brightly colored Christmas tree with ornaments. The negative examples lack this tree structure and bright colors, featuring various landscapes, objects, and textures. The query image also does not contain a Christmas tree, but instead depicts a snowy, dark scene with a single, bare tree.",
0023,B,negative,radio towers,0,Radio towers.,gemma3:latest,"Category: negative
Common concept: The common concept is a red and white striped pattern, specifically a candy cane. The positive examples all feature this pattern, while the negative examples do not. The query image does not have this pattern, so it's a negative example.",
0025,A,negative,steel beams building,3,Steel beams of the building.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict scenes of curved, flowing forms – specifically, water flowing down a curved surface (waterfall or riverbank). The negative examples feature straight lines, geometric shapes, and generally lack any sense of fluid movement or curvature. The query image shows a plain, flat surface with no curvature or flowing elements.",
0025,B,negative,steel beams building,3,Steel beams of the building.,gemma3:latest,"Category: negative
Common concept: The positive examples all feature a smooth, curved, and reflective surface (likely glass or polished concrete) that appears to be a continuous, unbroken expanse. The negative examples break this continuity with distinct planes, shadows, or irregularities in the surface. The query image also exhibits a break in the continuous surface with a clearly defined shadow and a distinct plane of earth.",
0026,A,negative,people walking city street,0,People walking on the city street.,gemma3:latest,"Category: negative
Common concept: Rain. The image depicts a wet, reflective street scene with blurred lights and reflections, indicating rain. This aligns with the negative examples which also feature water and reflections.",
0026,B,negative,people walking city street,0,People walking on the city street.,gemma3:latest,"Category: negative
Common concept: The negative examples all feature a dark, blurry, rainy street scene with a single, indistinct person walking towards the camera. The query image also exhibits this same characteristic – a dark, rainy street scene with a solitary figure walking towards the viewer, although it's slightly clearer than the negative examples.",
0029,A,negative,lightning hitting through cloudy sky,0,Lightning hitting through cloudy sky.,gemma3:latest,"Category: negative
Common concept: The images in the positive examples all depict a person standing in a natural landscape with a clear sky and bright lighting. The query image depicts a dark, stormy scene with rain and a low-lying cloud cover, lacking the elements of a clear sky, natural light, and human presence.",
0029,B,negative,lightning hitting through cloudy sky,0,Lightning hitting through cloudy sky.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a person standing on a sandy beach with a clear blue sky and waves. The negative examples depict similar scenes, but with a significant difference – a person is **not** standing on the beach. They are either absent, or are underwater.",
0542,A,negative,golden gate bridge,6,Golden Gate Bridge.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a single person standing on a street corner, likely waiting for a bus or taxi. The negative examples show various scenes - landscapes, interiors, and abstract patterns - that do not feature a person in this specific scenario. The query image shows a cityscape with a building, but no people, therefore it's a negative example.",
0542,B,negative,golden gate bridge,6,Golden Gate Bridge.,gemma3:latest,"Category: negative
Common concept: The positive images all depict a building with a distinct, prominent, and artistic roofline – often curved or featuring intricate details. The negative images show buildings with flat, plain, or otherwise unremarkable roofs. The query image also has a plain, flat roof, aligning with the negative examples.",
0545,A,negative,pieces chess,0,Pieces of chess.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a closed door, while the negative examples show open doors or doors with people entering/exiting.",
0545,B,negative,pieces chess,0,Pieces of chess.,gemma3:latest,"Category: negative
Common concept: The common concept is apples. The negative examples all contain oranges, while the query image contains an apple.",
0546,A,positive,huge cargo ship,0,A huge cargo ship.,gemma3:latest,"Category: positive
Common concept: The positive examples all depict ships with a prominent, dark-colored hull and a relatively small, light-colored superstructure (deck/top). The ships appear to be moving or sailing.",
0546,B,negative,huge cargo ship,0,A huge cargo ship.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict large, open-hulled cargo ships sailing in calm seas or harbors. The negative examples feature ships in various conditions – stormy seas, docks, or enclosed spaces – disrupting the overall visual impression of a large, open-hulled ship in a serene environment. The query image shows a ship in a stormy, enclosed harbor, thus not sharing the common concept.",
0548,A,negative,military carriers,7,Military carriers.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a red car, while the negative examples show various other objects (e.g., a truck, a sailboat, a house, a bicycle, a bird, and a landscape). The query image shows a bicycle, which doesn’t fit the common concept of a red car.",
0548,B,negative,military carriers,7,Military carriers.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a road with a single vehicle (typically a car) on it, while the negative examples either have no vehicles, multiple vehicles, or the vehicles are not on a road.  The query image also shows a car on a road, thus it's a negative example.",
0037,A,negative,girl long and thin braids,5,The girl has long and thin braids on her head.,gemma3:latest,"Category: negative
Common concept: The positive images all feature a model wearing a white shirt with a black, graphic neckline. The negative images do not share this feature.",
0037,B,negative,girl long and thin braids,5,The girl has long and thin braids on her head.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a person holding a small, colorful plush toy (typically a flamingo) in their hand. The query image shows a person holding a book, which doesn't fit this pattern.",
0551,A,negative,opened shutters inside room,4,Opened shutters inside the room.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict outdoor scenes with people sitting at tables, enjoying food and drinks. The negative examples do not contain this arrangement.",
0551,B,negative,opened shutters inside room,4,Opened shutters inside the room.,gemma3:latest,"Category: negative
Common concept: The positive examples all feature a prominent, central white vase with a single, tall flower (likely a calla lily) prominently displayed. The negative examples lack this central vase and flower arrangement.",
0043,A,negative,lettuce vegetable patch,0,Lettuce in the vegetable patch.,gemma3:latest,"Category: negative
Common concept: The positive examples show a close-up of a person holding a plastic bag containing a single, ripe tomato. The negative examples all show various food items that are not tomatoes or are displayed in a different way (e.g., a bowl of fruit, a salad, a basket of produce). The query image shows a bowl of fruit, not a single ripe tomato.",
0043,B,positive,lettuce vegetable patch,0,Lettuce in the vegetable patch.,gemma3:latest,"Category: positive
Common concept: A single, white, plastic takeout container with a single piece of lettuce inside.",
0044,A,positive,little kids steering cars,0,Little kids steering cars.,gemma3:latest,"Category: positive
Common concept: The images in the top row all depict children actively engaged in play – specifically, running and jumping. The bottom image, a child sitting still, doesn’t exhibit this active play behavior.",
0044,B,negative,little kids steering cars,0,Little kids steering cars.,gemma3:latest,"Category: negative
Common concept: All images in the top row depict children actively engaged in building structures with blocks. The query image shows a child sitting still and looking at a toy truck, which does not represent the same action of building with blocks.",
0046,A,negative,traces left sand dunes,0,Traces left on the sand dunes.,gemma3:latest,"Category: negative
Common concept: The negative examples all have a prominent, bright, light-colored beach or sand area, while the positive examples have a darker, less defined beach area. The query image also has a light-colored beach, but the overall image is more complex and less focused on the sand itself, distinguishing it from the clear, positive examples.",
0046,B,negative,traces left sand dunes,0,Traces left on the sand dunes.,gemma3:latest,"Category: negative
Common concept: The negative examples all show images with a distinct, sharp, and linear edge, often creating a strong visual contrast and a feeling of abruptness or division. The query image lacks this sharp, linear edge, presenting a blurred and indistinct scene.",
0560,A,negative,coins various countries human heads,0,Coins of various countries with human heads.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a **person standing with their back to the viewer**. The middle row contains images where people are facing forward or have their backs turned in different ways, indicating a lack of the shared back-facing concept. The query image also shows a person with their back to the viewer, confirming it shares the same concept.",
0560,B,negative,coins various countries human heads,0,Coins of various countries with human heads.,gemma3:latest,"Category: negative
Common concept: The images in the positive row all contain the outline of a human head, even if partially obscured or stylized. The query image does not have this feature.",
0563,A,negative,foggy river,0,The foggy river.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a clear, bright, and sunny scene with a prominent, well-defined object (a building) in the foreground. The negative examples lack this clarity and brightness, often featuring blurry or dark scenes. The query image aligns with the negative examples, exhibiting a dark, blurry, and undefined scene.",
0563,B,negative,foggy river,0,The foggy river.,gemma3:latest,"Category: negative
Common concept: The common concept is a scene with a river flowing through a rocky landscape, featuring reflections on the water surface. The negative examples all depict scenes lacking this reflective quality, with either clear, still water or a lack of any discernible surface reflection. The query image also lacks reflection, showing a clear river with a rocky riverbed, consistent with the negative examples.",
0054,A,negative,wrestling competition,0,Wrestling competition.,gemma3:latest,"Category: negative
Common concept: The images predominantly show various types of **dogs** (different breeds, sizes, and colors) in a natural or posed setting. The negative examples show images lacking this dog concept – they feature things like cars, buildings, furniture, and abstract patterns. The query image shows a golden retriever, thus it shares the dog concept.",
0054,B,negative,wrestling competition,0,Wrestling competition.,gemma3:latest,"Category: negative
Common concept: The images share the concept of a running athlete. The positive examples show athletes in motion, focused on running, with typical running posture and clothing. The negative examples all depict static or blurred images of people, or animals, lacking the dynamic running aspect. The query image is a static image of a person sitting at a table, so it doesn't share the common concept of a running athlete.",
0055,A,negative,close-up view sprouting stamen,0,Close-up view of sprouting stamen.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict images of **flowers with a prominent, centrally located, and relatively large blossom**. The negative examples deviate by having distorted shapes, missing petals, or a lack of a recognizable floral form. The query image also shows a simple flower but the petal arrangement is very different, so it is negative.",
0055,B,negative,close-up view sprouting stamen,0,Close-up view of sprouting stamen.,gemma3:latest,"Category: negative
Common concept: The positive images all show a single, well-defined flower with a visible center and petals radiating outwards. The query image shows a blurry, indistinct blob without a clear floral structure or defined petals, therefore it does not share the same concept.",
0057,A,negative,aerial view city,0,An aerial view of the city.,gemma3:latest,"Category: negative
Common concept: The image predominantly features a vast, empty, gray cityscape with a single, prominent skyscraper dominating the skyline. The negative examples share similar characteristics—a very bleak, desolate urban scene, almost entirely devoid of human activity and with a single, imposing building. The query image also embodies this desolate cityscape characteristic.",
0057,B,negative,aerial view city,0,An aerial view of the city.,gemma3:latest,"Category: negative
Common concept: The negative examples all depict urban landscapes with towering, modern skyscrapers, a characteristic of futuristic city skylines. The query image, showing a rural farm with a barn and fields, contrasts sharply with this futuristic urban theme.",
0572,A,negative,passenger trains,0,Passenger trains.,gemma3:latest,"Category: negative
Common concept: The images predominantly feature scenes with clear blue skies and white clouds, suggesting a sunny weather condition. The negative examples lack this clear sky and cloud coverage, depicting overcast or cloudy conditions.",
0572,B,negative,passenger trains,0,Passenger trains.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict scenes with clear, bright blue skies and white clouds, while the negative examples show scenes with overcast or cloudy skies, or scenes lacking bright blue skies. The query image also shows a cloudy sky.",
0062,A,negative,bunch vibrant flowers,0,A bunch of vibrant flowers.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict images of people smiling and happy, while the negative examples show images of sad or unhappy people. The query image depicts a sad person.",
0062,B,positive,bunch vibrant flowers,0,A bunch of vibrant flowers.,gemma3:latest,"Category: positive
Common concept: Images of flowers, specifically roses, in a studio setting with a plain background. The positive examples all feature a single rose, a simple backdrop, and a focus on the flower's detail.",
0579,A,negative,foxes roaming prairie,0,Foxes roaming on the prairie.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a gray/white dog with a pink tongue, while the negative examples do not. The query image does not show a dog with a pink tongue.",
0579,B,negative,foxes roaming prairie,0,Foxes roaming on the prairie.,gemma3:latest,"Category: negative
Common concept: The positive examples all have a dark head and body, and a lighter belly. The query image has a light head and body, therefore it is a negative example.",
0580,A,negative,wedding photos bride and groom,5,Wedding photos of the bride and groom.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict outdoor scenes with people in white clothing, specifically dresses or shirts, suggesting a summer or beach-related context. The negative examples feature various indoor settings with people in different colored clothing, indicating a lack of this specific summer/beach theme.",
0580,B,negative,wedding photos bride and groom,5,Wedding photos of the bride and groom.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a group of people in a formal setting, often wearing suits and ties, suggesting a business or professional context. The negative examples deviate from this, showing various unrelated scenes – a single person, a chaotic room, and a landscape, lacking the formal group dynamic. The query image similarly depicts a single person in a casual setting, not a group.",
0584,A,positive,christmas illustration,0,Christmas illustration.,gemma3:latest,"Category: positive
Common concept: The images all depict a beach scene with a person in a swimsuit, suggesting a sunny beach vacation.",
0584,B,negative,christmas illustration,0,Christmas illustration.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a person wearing a red coat, suggesting a winter or cold-weather context. The bottom image does not show any person wearing a red coat, thus it is negative.",
0588,A,positive,dirt path winding dense forest,0,A dirt path winding through the dense forest.,gemma3:latest,"Category: positive
Common concept: The common concept is a pathway leading into a dense forest, emphasizing a sense of exploration and journey. The positive examples all feature clear, well-defined paths winding into a deep, verdant forest, while the negative examples lack these path elements or have them obscured, chaotic, or incomplete.",
0588,B,negative,dirt path winding dense forest,0,A dirt path winding through the dense forest.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict scenes with a strong sense of depth and atmospheric perspective – specifically, a distant, hazy mountain range receding into the distance. The negative examples lack this depth, often appearing flat and lacking a convincing sense of distance. The query image also lacks this atmospheric depth and perspective.",
0078,A,negative,backlit photo couple,0,Backlit photo couple.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a person standing in a somewhat posed, deliberate manner – a feeling of intention and awareness.  The query image shows a person standing in a blurry, indistinct way, lacking this sense of intentionality and focus.",
0078,B,negative,backlit photo couple,0,Backlit photo couple.,gemma3:latest,"Category: negative
Common concept: The image contains a blurry, undefined background with a single, dark figure (likely a person) sitting on a bench. The lack of clarity and the solitary figure contribute to a feeling of isolation and uncertainty, distinguishing it from the clear, defined scenes of the positive examples.",
0080,A,negative,closeup cat,0,A closeup view of cat.,gemma3:latest,"Category: negative
Common concept: The negative images all feature a blurry, out-of-focus object, creating a sense of unease and uncertainty. The query image similarly shows a blurry, out-of-focus object, replicating the negative example's characteristic.",
0080,B,negative,closeup cat,0,A closeup view of cat.,gemma3:latest,"Category: negative
Common concept: The negative examples all feature a brightly lit, modern living room scene with a person reading a book on a sofa. The query image also has a person sitting on a sofa in a brightly lit room, indicating the shared concept of a person reading in a modern living room setting.",
0091,A,negative,red bows,0,Red bows.,gemma3:latest,"Category: negative
Common concept: The images in the top row show a person wearing a suit jacket, specifically a blazer. The bottom image shows a person wearing a shirt, without a jacket.",
0091,B,negative,red bows,0,Red bows.,gemma3:latest,"Category: negative
Common concept: The images in the top row all feature a person wearing a suit jacket. The bottom image shows a person wearing a shirt, but no jacket.",
0094,A,positive,tennis racket or court,5,Tennis racket or court.,gemma3:latest,"Category: positive
Common concept: The images all depict a person playing a sport, specifically tennis, with a ball and a racket. The positive examples show a clear action of hitting the ball, while the negative examples depict scenes that don’t involve this action or the equipment.",
0094,B,negative,tennis racket or court,5,Tennis racket or court.,gemma3:latest,"Category: negative
Common concept: All images except the bottom one depict a basketball player dribbling the ball. The bottom image shows a tennis court with a tennis ball, indicating a different sport.",
0095,A,positive,man training gym,0,A man is training at the gym.,gemma3:latest,"Category: positive
Common concept: The images predominantly feature a person standing with their arms bent at the elbows and hands supporting their body weight, resembling a push-up position. The positive examples show people actively performing this movement, while the negative examples depict various other postures or activities.",
0095,B,positive,man training gym,0,A man is training at the gym.,gemma3:latest,"Category: positive
Common concept: The positive examples all depict individuals actively lifting weights, specifically barbells, with a focused and determined expression. The negative examples show various scenes without this activity – people walking, sitting, or in other non-lifting scenarios. The query image is a positive example showing a person lifting a barbell.",
0606,A,negative,rusted iron fence,9,A rusted iron fence.,gemma3:latest,"Category: negative
Common concept: The positive images all depict scenes of vibrant, colorful, and playful outdoor settings, primarily featuring children engaging in activities like playing on swings, slides, and in sandboxes. The negative images show scenes that are drab, monochromatic, or lack any signs of playfulness or vibrancy. The query image continues this trend, showing a gray, empty playground.",
0606,B,negative,rusted iron fence,9,A rusted iron fence.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict outdoor scenes with vibrant colors and clear, crisp visibility, representing a joyful and optimistic feeling. The negative examples consist of blurry, dark, and indistinct images, conveying a sense of gloom and confusion. The query image also shows a blurry, dark and indistinct image, therefore is negative.",
0098,A,negative,woman red dress dancing,0,A woman in a red dress is dancing.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a person standing with their arms outstretched, with a relaxed posture and open expression. The negative examples show a person standing with their arms crossed, tense posture, or a closed/serious expression. The query image also shows a person standing with their arms crossed, tense posture - thus, it is a negative example.",
0098,B,negative,woman red dress dancing,0,A woman in a red dress is dancing.,gemma3:latest,"Category: negative
Common concept: The positive images all depict a red dress worn by a woman, while the negative examples show various other clothing items and scenes, with no red dress or a woman wearing a dress.",
0612,A,negative,red flamingo standing shallow water,0,A red flamingo standing in shallow water.,gemma3:latest,"Category: negative
Common concept: The positive images depict animals with a prominent, elongated snout and a wet, dark nose. The negative images lack this characteristic snout and wet nose. The query image also lacks this feature, therefore it is a negative example.",
0612,B,negative,red flamingo standing shallow water,0,A red flamingo standing in shallow water.,gemma3:latest,"Category: negative
Common concept: The positive images all contain a single, brightly colored, stylized flamingo with a vibrant pink body and a long, curved neck. The negative images lack this specific flamingo depiction, showing various other objects and scenes, including a landscape, a building, and a cityscape, effectively excluding the core concept of the flamingo.",
0104,A,negative,man playing drum kit,0,A man playing the drum kit.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a person playing a musical instrument (guitar) indoors, with good lighting and a focused expression. The negative examples lack these features – they show people in various settings (outdoors, crowded places), with unclear lighting, and without a clear musical focus. The query image depicts a person playing a guitar outdoors, which matches the negative examples in terms of setting and lack of focus.",
0104,B,negative,man playing drum kit,0,A man playing the drum kit.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a person playing a musical instrument (guitar, violin, piano) in a studio setting with a simple background, suggesting a focus on musical performance. The bottom image, however, is a landscape scene with a cloudy sky and mountains, lacking any musical instrument or performance element.",
0617,A,positive,girl long curly hair,9,A girl with long curly hair.,gemma3:latest,"Category: positive
Common concept: A young girl smiling and looking at the camera.",
0617,B,positive,girl long curly hair,9,A girl with long curly hair.,gemma3:latest,"Category: positive
Common concept: **Smiling faces** - All the positive images feature people with clear, genuine smiles. The negative images, conversely, depict faces that appear neutral, sad, or otherwise lacking a smile.",
0620,A,positive,man jumping high dunk basketball,0,A man jumping high to dunk the basketball.,gemma3:latest,"Category: positive
Common concept: The images all depict a basketball court with a person dribbling a basketball. The query image also shows a basketball court with a person dribbling a basketball.",
0620,B,negative,man jumping high dunk basketball,0,A man jumping high to dunk the basketball.,gemma3:latest,"Category: negative
Common concept: The images show a basketball court with a person dribbling a basketball. The query image does not show a person dribbling a basketball, it shows a basketball court with a hoop and backboard, but no one is playing.",
0623,A,negative,lush green rice fields,0,The lush green rice fields.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a scene with a person (likely a child) holding a balloon. The negative examples all show different scenes with various subjects, but none with a person holding a balloon.",
0623,B,negative,lush green rice fields,0,The lush green rice fields.,gemma3:latest,"Category: negative
Common concept: The negative examples all depict images of blurry, indistinct, and low-resolution photographs, creating a sense of visual noise and confusion. The query image also exhibits this characteristic of a distorted and unclear image.",
0112,A,positive,wooden floor living room,3,A wooden floor in the living room.,gemma3:latest,"Category: positive
Common concept: The common concept is a minimalist, modern living room with a focus on neutral colors (gray, beige, white) and simple furniture shapes. The key features are a gray sofa, a light-colored rug, and a sleek, modern coffee table.",
0112,B,negative,wooden floor living room,3,A wooden floor in the living room.,gemma3:latest,"Category: negative
Common concept: The positive examples all feature a bright, airy, minimalist interior design with a focus on natural light and neutral color palettes (white, beige, light gray). They all have large windows, open spaces, and a clean, uncluttered aesthetic. The query image lacks this bright, airy, minimalist style and instead has a darker, more cluttered interior with a traditional sofa and a patterned rug, contrasting with the positive examples.",
0113,A,negative,part dolphin's body surfacing,0,Part of the dolphin's body surfacing.,gemma3:latest,"Category: negative
Common concept: The images are all photos of people sitting on inflatable flamingos. The query image does not feature anyone sitting on a flamingo.",
0113,B,negative,part dolphin's body surfacing,0,Part of the dolphin's body surfacing.,gemma3:latest,"Category: negative
Common concept: The positive images all depict a person floating on their back in water, while the negative images show various other activities in water, such as swimming, playing with a ball, or sitting on a dock. The query image shows a child sitting on a dock, so it doesn't match the common concept of floating on one's back in water.",
0116,A,negative,ladybug on green leaf,8,A ladybug on a green leaf.,gemma3:latest,"Category: negative
Common concept: The positive examples all show a red apple with a bite taken out of it, while the negative examples show apples without bites or with different colors/shapes. The query image shows an apple with a bite, thus belonging to the positive category.",
0116,B,negative,ladybug on green leaf,8,A ladybug on a green leaf.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a cat sitting on a mat, while the negative examples show various other objects and animals. The query image shows a dog on a mat, so it does not share this concept.",
0117,A,positive,colorful ribbons,0,Colorful ribbons.,gemma3:latest,"Category: positive
Common concept: Balloons",
0117,B,positive,colorful ribbons,0,Colorful ribbons.,gemma3:latest,"Category: positive
Common concept: Balloons in a party setting. The positive examples all feature balloons, while the negative examples depict various scenes without balloons.",
0118,A,negative,group troops ride camels,0,A group of troops ride camels.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a bright, sunny day with clear blue skies and vibrant colors, suggesting a positive and cheerful scene. The negative examples, in contrast, show dark, stormy, and muted colors, indicating a negative and gloomy atmosphere. The query image also depicts a dark, rainy scene, confirming it shares the same negative concept.",
0118,B,negative,group troops ride camels,0,A group of troops ride camels.,gemma3:latest,"Category: negative
Common concept: The images are all depicting various styles of riding horses. The positive examples show people confidently riding, while the negative examples show scenes with uncertainty or lack of control, such as a horse rearing up or a rider falling. The query image shows a rider falling off a horse, thus fitting into the negative category.",
0630,A,negative,ball bats,7,Ball bats.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a person holding a basketball, while the images in the middle row show people doing other activities. The query image shows a person playing basketball, so it's a positive example.",
0630,B,negative,ball bats,7,Ball bats.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a person standing on one leg, while the images in the middle row depict people in various other poses or activities. The query image shows a person standing on two legs, so it's a negative example.",
0120,A,negative,bridesmaid group,7,Bridesmaid group.,gemma3:latest,"Category: negative
Common concept: The positive images all depict a sunny, clear outdoor scene with a focus on a person (likely a child) in a brightly colored outfit, typically a yellow or orange dress, enjoying a pleasant outdoor activity (e.g., playing, running, or being in a park). The negative images depict scenes lacking these characteristics – often dark, blurry, or featuring objects or scenes not related to the described concept. The query image, a blurry, dark, and nondescript scene, lacks the key elements of the positive examples.",
0120,B,negative,bridesmaid group,7,Bridesmaid group.,gemma3:latest,"Category: negative
Common concept: The negative examples all depict scenes with an abundance of bright, saturated colors and highly stylized, almost cartoonish, imagery. The positive examples, in contrast, feature muted tones and more realistic depictions of scenes. The query image also exhibits this characteristic—a vibrant, unrealistic style that sets it apart from the more subdued positive examples.",
0635,A,negative,decorated with fake feathers,0,Decorated with fake feathers.,gemma3:latest,"Category: negative
Common concept: The images in the top row all depict a single, vibrant red rose, while the images in the middle row do not. The query image also does not show a rose.",
0635,B,negative,decorated with fake feathers,0,Decorated with fake feathers.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict images of cats. The negative examples depict various other animals and objects. The query image also depicts a cat.",
0638,A,negative,snow mountain ridge,0,Snow mountain ridge.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict a single, isolated, reddish-brown **bulldozer** in a gray, overcast environment. The negative examples all show a similar bulldozer but in a scene with multiple objects (e.g., other vehicles, people, buildings) and/or a different color scheme (e.g., green, blue, orange). The query image shows a bulldozer in a scene with a building and sky.
",
0638,B,negative,snow mountain ridge,0,Snow mountain ridge.,gemma3:latest,"Category: negative
Common concept: The images predominantly feature a snow scene with a blurred background, suggesting a winter landscape. The negative examples have different backgrounds or distinct features (e.g., a person, a vehicle), while the query image also maintains the snowy scene with a blurred background, making it a negative example.",
0127,A,negative,spoon full food,0,A spoon full of food.,gemma3:latest,"Category: negative
Common concept: The positive examples all depict objects arranged in a visually symmetrical or repeating pattern, typically with rows or columns of identical items. The negative examples break these patterns, featuring objects that are not symmetrical, are arranged in a less organized manner, or have elements that disrupt the visual flow. The query image, a single strawberry, does not exhibit any of these symmetrical or patterned arrangements.",
